Code,Districts,Libellé,Latitude,Longitude,Voitures de tourisme pour 1000 habitants 2023,Nb. d'accidents avec blessés/tués 2022,Nb. d'accidents avec dommages matériels 2022,Part des voitures électriques 2023,Gare/station,Surface totale,Altitude maximale,Altitude minimale,Habitat et infrastructures (part du territoire) 2020,Surfaces boisées (part du territoire) 2020,Surfaces agricoles (part du territoire) 2020,Surfaces improductives (part du territoire) 2020,Taux d'accroissement des logements 2021,Densité de population 2023,Part des maisons individuelles 2022,Etablissements tous secteurs 2021,Rapport de dépendance des jeunes 2023,Rapport de dépendance des personnes âgées 2023,Taux annuel 2016-2020,Population résidante permanente 2023,Part des élèves du primaire dans la population 2022,Part des élèves du secondaire inférieur dans la population 2022,Coefficient d'imposition communal 2022,Dépenses d'investissement par habitant (moyenne des 3 dernières années 2022),Marge d'autofinancement par habitant 2022,Excédent ou insuffisance de financement par habitant 2022
5624,Ouest lausannois,Bussigny,46.5512503,6.553745,553,11,22,3,1,479,502,383,56.8,16.9,25.3,1,4.3,2213.1,13.9,657,34.9,20.9,3.97,10645,8.98,3.03,62.5,1213.9,757.8,-951.7
5627,Ouest lausannois,Chavannes-près-Renens,46.5285212,6.5726698,323.6,12,7,1.2,0,166,432,374,75.3,9.6,14.5,0.6,0,5658.8,1.4,305,35.7,15.2,2.99,9337,7.99,2.8,77.5,902.6,1050,191.3
5628,Morges,Chigny,46.5201861,6.4773257,517.8,2,0,6,1,87,461,388,25.3,5.7,67.8,1.1,1.24,474.2,40.9,20,44.4,19.8,3.66,422,8.83,4.06,62,74.6,314.6,203.4
5629,Morges,Clarmont,46.5474321,6.4501584,600.9,0,0,5.3,0,102,583,494,10.8,10.8,77.5,1,0,214.7,19.6,18,38,21.9,3.52,219,9.86,2.82,72,1.3,286.4,286.4
5631,Morges,Denens,46.518323,6.4564786,644.3,0,0,4.6,0,329,521,430,14,3.6,82.4,0,0,224.8,37,41,30.2,33.6,-0.89,742,7.83,1.68,68,7.1,355.8,355.8
5632,Morges,Denges,46.5241679,6.5402546,654.2,1,4,4.5,1,170,433,373,48.2,4.1,45.3,2.4,0,1097,25.9,132,30.5,18,1.59,1821,6.58,2.7,62,191.6,584.5,402.1
5633,Morges,Echandens,46.534381,6.5410474,608.5,1,4,4.4,1,386,465,379,33.4,17.6,48.4,0.5,0.08,750,28.8,207,36.4,36,0.11,2910,5.67,2.8,60.5,662,317.2,-61.1
5634,Morges,Echichens,46.5265541,6.4978862,557.1,6,8,7.1,0,1326,578,415,11.5,8.9,79.6,0.1,0.99,239.7,27.9,173,39.6,33.2,4.33,3181,9.19,3.46,66,1586.5,1070.9,-402.3
5635,Ouest lausannois,Ecublens,46.5261672,6.5620735,449.8,23,15,3.1,0,573,445,373,64.2,11.3,23,1.4,0.19,2331.1,7.7,870,34.4,24.7,1.63,13334,7.63,3.05,62.5,754.1,795.9,505.2
5636,Morges,Etoy,46.4860906,6.4193113,704.6,1,11,3.9,1,490,496,389,31.6,6.7,61.6,0,5.56,593.5,23.7,377,33.1,25.2,0.03,2920,6.84,3.98,60,1493.7,838.8,-1478.6
