Village,District,Latitude,Longitude,Population,Energie solaire,Cluster
Oulens-sous-Echallens,Gros-de-Vaud,46.6433334,6.5781518,532,1231,1
Novalles,Jura-Nord vaudois,46.8284542,6.5956886,102,1205,1
Onnens,Jura-Nord vaudois,46.8391148,6.6884927,500,1205,0
Mies,Nyon,46.3060321,6.1723029,1760,1461,0
Fiez,Jura-Nord vaudois,46.8280744,6.6240029,412,1205,1
Founex,Nyon,46.3338174,6.1943733,3210,1461,1
Mathod,Jura-Nord vaudois,46.7667908,6.5647296,552,1205,1
Saint-Sulpice,Ouest lausannois,46.5100832,6.5580607,3378,1074,3
Jongny,Riviera-Pays d'Enhaut,46.4785042,6.8414194,1472,1115,0
Bursins,Nyon,46.4515535,6.2906369,522,1461,1
Lignerolle,Jura-Nord vaudois,46.7407875,6.4559997,334,1205,2
Marchissy,Nyon,46.4880255,6.2469182,348,1461,2
Cuarny,Jura-Nord vaudois,46.7700368,6.6884422,204,1205,1
Bassins,Nyon,46.464053,6.2316394,832,1461,2
Yens,Morges,46.518837,6.4180806,1328,1273,0
Chevilly,Morges,46.642766,6.4771672,250,1273,1
Vufflens-la-Ville,Gros-de-Vaud,46.5783726,6.5386727,1221,1231,0
Givrins,Nyon,46.4289779,6.2017676,823,1461,0
Vufflens-le-Château,Morges,46.5264596,6.4690909,829,1273,0
Valeyres-sous-Rances,Jura-Nord vaudois,46.7528278,6.5249548,585,1205,1
Saubraz,Morges,46.5145609,6.3302084,392,1273,1
Bremblens,Morges,46.5461677,6.51777,487,1273,1
Ollon,Aigle,46.2972426,6.9950257,7426,1115,2
Bougy-Villars,Morges,46.4787593,6.3545367,446,1273,1
Chavannes-près-Renens,Ouest lausannois,46.5285212,6.5726698,7107,1074,3
Mex,Gros-de-Vaud,46.5784364,6.5538256,662,1231,1
Ballaigues,Jura-Nord vaudois,46.7305278,6.4132441,871,1205,2
Romanel-sur-Morges,Morges,46.5564288,6.5101067,478,1273,1
Montpreveyres,Lavaux-Oron,46.581339,6.740799,535,985,2
Vuarrens,Gros-de-Vaud,46.6863257,6.6475677,565,1231,1
Les Clées,Jura-Nord vaudois,46.7320659,6.4626883,176,1205,2
Chavannes-de-Bogis,Nyon,46.3446425,6.1625796,1077,1461,1
Dizy,Morges,46.6348867,6.4949896,222,1273,1
Valeyres-sous-Montagny,Jura-Nord vaudois,46.7983693,6.6105655,641,1205,0
Cronay,Jura-Nord vaudois,46.7571842,6.6966405,352,1205,1
Champagne,Jura-Nord vaudois,46.8302611,6.6580976,1002,1205,1
Rueyres,Gros-de-Vaud,46.6937921,6.6926541,261,1231,1
Bière,Morges,46.5373773,6.3337235,1538,1273,2
Mont-sur-Rolle,Nyon,46.470957,6.3365929,1796,1461,1
Bursinel,Nyon,46.438423,6.3053467,472,1461,1
Grancy,Morges,46.5915221,6.4649462,410,1273,1
Puidoux,Lavaux-Oron,46.5008111,6.7823914,2811,985,0
Bullet,Jura-Nord vaudois,46.8309314,6.5546431,596,1205,2
Vuiteboeuf,Jura-Nord vaudois,46.807388,6.5493754,473,1205,0
Veytaux,Riviera-Pays d'Enhaut,46.4215725,6.9275648,843,1115,2
Daillens,Gros-de-Vaud,46.6202897,6.5487115,941,1231,1
Epalinges,Lausanne,46.547327,6.6726245,9011,1074,3
Corbeyrier,Aigle,46.3495001,6.9597544,401,1115,2
Yvorne,Aigle,46.3317116,6.9586852,1036,1115,2
Corcelles-près-Payerne,Broye-Vully,46.8331849,6.9614432,1644,1350,0
Trey,Broye-Vully,46.769255,6.9251725,264,1350,1
Grandcour,Broye-Vully,46.8718747,6.928747,851,1350,1
Missy,Broye-Vully,46.8798752,6.9698165,336,1350,1
Cudrefin,Broye-Vully,46.9560359,7.0183078,1516,1350,1
Faoug,Broye-Vully,46.9057923,7.0740011,800,1350,0
Moudon,Broye-Vully,46.6680664,6.8003478,5833,1350,0
Avenches,Broye-Vully,46.879575,7.040941,3808,1350,0
Champtauroz,Broye-Vully,46.760598,6.789151,100,1350,1
Chexbres,Lavaux-Oron,46.4809505,6.7803021,2187,985,0
Chavannes-le-Chêne,Jura-Nord vaudois,46.7768814,6.7780279,274,1205,1
Bavois,Jura-Nord vaudois,46.6853078,6.5651634,921,1205,0
Gryon,Aigle,46.2746628,7.063671,1267,1115,2
L'Abbaye,Jura-Nord vaudois,46.6492716,6.3186169,1358,1205,2
Froideville,Gros-de-Vaud,46.6012433,6.6816355,2107,1231,2
Ballens,Morges,46.5542745,6.3750843,507,1273,0
La Rippe,Nyon,46.3815133,6.1504437,1086,1461,2
Lovatens,Broye-Vully,46.6918052,6.8641889,140,1350,1
Le Pont,Jura-Nord vaudois,46.6683679,6.3256327,774,1205,2
Le Sentier,Jura-Nord vaudois,46.606022,6.2314896,2336,1205,2
Le Brassus,Jura-Nord vaudois,46.5839591,6.2123361,1840,1205,2
L'Orient,Jura-Nord vaudois,46.6015355,6.2401453,534,1205,2
Les Charbonnières,Jura-Nord vaudois,46.6663653,6.3149896,367,1205,2
Les Plans-sur-Bex,Aigle,46.2570475,7.0903354,132,1115,2
Palézieux,Lavaux-Oron,46.5550197,6.8304613,1158,985,0
Villars-sous-Champvent,Jura-Nord vaudois,46.7861393,6.583353,45,1205,1
Morcles,Aigle,46.2088952,7.0363659,282,1115,2
Romairon,Jura-Nord vaudois,46.8498613,6.639397,37,1205,2
Huémoz,Aigle,46.2911726,7.0249718,450,1115,2
Les Diablerets,Aigle,46.3511021,7.1566435,900,1115,2
Villars-sur-Ollon,Aigle,46.2977636,7.055331,1091,1115,2
L'Auberson,Jura-Nord vaudois,46.8182795,6.4617052,917,1205,2
Lavey-Village,Aigle,46.2200413,7.0181572,600,1115,2
Lavey-les-Bains,Aigle,46.20671,7.0158161,450,1115,2
La Forclaz,Aigle,46.3500014,7.0696309,100,1115,2
Donatyre,Broye-Vully,46.8764735,7.0576639,600,1350,1
Les Avants,Riviera-Pays d'Enhaut,46.4536817,6.943758,450,1115,3
Clarens,Riviera-Pays d'Enhaut,46.4411119,6.8930605,751,1115,3
Caux,Riviera-Pays d'Enhaut,46.4324672,6.9377262,200,1115,3
Territet,Riviera-Pays d'Enhaut,46.4249698,6.9246438,1500,1115,3
Glion,Riviera-Pays d'Enhaut,46.4334429,6.9265504,500,1115,3
Rossinière,Riviera-Pays d'Enhaut,46.4675176,7.083061,543,1115,2
Apples,Morges,46.5516727,6.4267658,1440,1273,0
Vugelles-La Mothe,Jura-Nord vaudois,46.81927,6.5676637,122,1205,2
Dommartin,Gros-de-Vaud,46.6491462,6.7020257,274,1231,1
Arzier-Le Muids,Nyon,46.4599808,6.208069,2656,1461,2
Oron-le-Châtel,Lavaux-Oron,46.5756183,6.8424561,233,985,0
Chesalles-sur-Oron,Lavaux-Oron,46.5760782,6.8526495,148,985,1
Essert-sous-Champvent,Jura-Nord vaudois,46.7924911,6.5841572,132,1205,1
Servion,Lavaux-Oron,46.5767948,6.7845039,2078,985,1
Les Thioleyres,Lavaux-Oron,46.5406228,6.8121121,172,985,1
Chavannes-sur-Moudon,Broye-Vully,46.6571671,6.8092169,197,1350,1
Ferreyres,Morges,46.6577788,6.4860425,222,1273,1
Villars-Burquin,Jura-Nord vaudois,46.8470936,6.6279243,504,1205,2
Pizy,Morges,46.4923283,6.3522999,65,1273,1
Provence,Jura-Nord vaudois,46.8914636,6.7270271,368,1205,2
Reverolle,Morges,46.5416336,6.4384876,323,1273,0
Rances,Jura-Nord vaudois,46.7602787,6.5300272,419,1205,1
Châtillens,Lavaux-Oron,46.5678208,6.8149745,365,985,0
Peney-le-Jorat,Gros-de-Vaud,46.6309179,6.7280379,312,1231,1
Savigny,Lavaux-Oron,46.5384249,6.7316194,3084,985,1
Maracon,Lavaux-Oron,46.5500232,6.8727444,416,985,1
Château-D'Oex,Riviera-Pays d'Enhaut,46.4738413,7.1303012,2949,1115,2
Leysin,Aigle,46.3438701,7.0148403,4000,1115,2
Naz,Gros-de-Vaud,46.6580065,6.6956473,137,1231,1
Les Rasses,Jura-Nord vaudois,46.8292221,6.5402244,574,1205,2
Vaugondry,Jura-Nord vaudois,46.8466335,6.6369496,39,1205,2
La Tuilière,Jura-Nord vaudois,46.7138454,6.6995623,10,1205,1
Le Muids,Nyon,46.4542786,6.2196398,83,1461,2
Salavaux,Broye-Vully,46.9171744,7.0221,607,1350,1
Antagnes,Aigle,46.2767825,7.0129283,304,1115,2
Mollie-Margot,Lavaux-Oron,46.5566174,6.7506448,389,985,1
La Claie-aux-Moines,Lavaux-Oron,46.5411119,6.7043595,349,985,1
Vers l'Église,Aigle,46.3539017,7.1316798,17,1115,2
Chesières,Aigle,46.3012904,7.0425766,1868,1115,2
La Vraconnaz,Jura-Nord vaudois,46.8414921,6.4831724,47,1205,2
La Chaux de-Ste-Croix,Jura-Nord vaudois,46.830687,6.4782064,107,1205,2
Le Sépey,Aigle,46.3611362,7.051225,175,1115,2
Fenalet-sur-Bex,Aigle,46.2717426,7.0266253,73,1115,2
Peney,Jura-Nord vaudois,46.8026753,6.561092,94,1205,1
Brent,Riviera-Pays d'Enhaut,46.4579773,6.901682,900,1115,3
Chernex,Riviera-Pays d'Enhaut,46.4456342,6.9088409,1968,1115,3
Les Posses-sur-Bex,Aigle,46.2712905,7.0471292,48,1115,2
Epautheyres,Gros-de-Vaud,46.7388257,6.6432671,146,1231,1
Le Day,Jura-Nord vaudois,46.7163872,6.3994595,43,1205,2
Aran,Lavaux-Oron,46.4979717,6.7101518,38,985,1
Les Bioux,Jura-Nord vaudois,46.6216443,6.2716224,202,1205,2
Les Moulins,Riviera-Pays d'Enhaut,46.4606024,7.107087,211,1115,2
Saint-Triphon,Aigle,46.2926382,6.9784632,474,1115,2
Les Tuileries,Jura-Nord vaudois,46.7984514,6.6264686,376,1205,0
Crebelley,Aigle,46.364681,6.9017862,37,1115,1
