wayId,cycleway,length,coordinates
24753044,lane,997.2763523033734,"[(46.6226243, 6.6301716), (46.6221359, 6.6298306), (46.6220628, 6.6297773), (46.6213382, 6.6292586), (46.6210679, 6.6290264), (46.6208976, 6.6288368), (46.6207349, 6.6286106), (46.6205471, 6.6282579), (46.6202634, 6.6277052), (46.6199069, 6.6271653), (46.6194551, 6.6265615), (46.6187562, 6.6256929), (46.6180994, 6.6249048), (46.617745, 6.6244836), (46.6175065, 6.6241923), (46.6170164, 6.6236042), (46.6167213, 6.6232611), (46.6164048, 6.6229308), (46.6160478, 6.6226397), (46.615778, 6.6224563), (46.6155754, 6.6223295)]"
24756139,lane,44.189730586307554,"[(46.4813049, 6.4569905), (46.4815583, 6.4572229), (46.481603, 6.4572734), (46.4816352, 6.4573098)]"
24756147,lane,290.0036393602064,"[(46.3847915, 6.2458315), (46.3848419, 6.2458686), (46.3850008, 6.2459691), (46.3850355, 6.2459849), (46.3851721, 6.2460509), (46.3853122, 6.2461095), (46.3856086, 6.2462194), (46.3861047, 6.2464101), (46.3865967, 6.2466008), (46.3867377, 6.2466617), (46.386772, 6.2466812), (46.3869095, 6.2467595), (46.387059, 6.2468662), (46.3872531, 6.2470316)]"
24757606,lane,4.789105474730088,"[(46.4967698, 6.7042804), (46.4967434, 6.7043297)]"
24757607,lane,178.60732625079336,"[(46.4875019, 6.7209074), (46.48741, 6.7211623), (46.4873255, 6.7215134), (46.4872698, 6.7217914), (46.487255, 6.7221035), (46.4872567, 6.7221726), (46.4872581, 6.7222295), (46.4872623, 6.7225441), (46.4872808, 6.7227676), (46.4873136, 6.7231635)]"
24757608,lane,177.88215182298075,"[(46.4865796, 6.7519329), (46.4865188, 6.7520923), (46.4864496, 6.7522638), (46.4863637, 6.7524595), (46.4862737, 6.7526431), (46.4862027, 6.7527751), (46.4861317, 6.7528915), (46.4860351, 6.7530424), (46.4858634, 6.7532833), (46.4855376, 6.7536614)]"
24757609,lane,373.4820665389614,"[(46.4760727, 6.7730752), (46.4759101, 6.7735246), (46.4757385, 6.7739764), (46.4754032, 6.7748755), (46.4752061, 6.7754377), (46.4750184, 6.7759968), (46.474958, 6.7761731), (46.4749123, 6.7763281), (46.4748886, 6.7764247), (46.4748703, 6.7765139), (46.4748587, 6.7765955), (46.4748509, 6.7766729), (46.4748458, 6.7767472), (46.4748298, 6.7772283), (46.4748203, 6.7775158)]"
24757611,lane,144.32452973400342,"[(46.470391, 6.8189785), (46.4703722, 6.8194289), (46.4703502, 6.8198624), (46.4703367, 6.8200835), (46.4703215, 6.8202776), (46.4703008, 6.820494), (46.4702808, 6.8206572), (46.4702507, 6.8208439)]"
24757614,lane,179.10664672797233,"[(46.4613141, 6.8452925), (46.4612698, 6.8456014), (46.4612615, 6.8456604), (46.4612468, 6.8457253), (46.4612281, 6.8458153), (46.4611688, 6.8459763), (46.4609925, 6.846394), (46.4609729, 6.8464405), (46.4607874, 6.846882), (46.4606698, 6.8471615), (46.4606585, 6.8471886), (46.4605897, 6.8473524)]"
24757615,lane,66.76284951619289,"[(46.4605569, 6.8474303), (46.4604841, 6.847608), (46.4604656, 6.8476516), (46.460249, 6.8481765)]"
24801614,lane,253.39122344417314,"[(46.5028096, 6.4704203), (46.502611, 6.4706191), (46.5023237, 6.4709077), (46.502104, 6.4711743), (46.5019906, 6.4713002), (46.5018748, 6.4714177), (46.5017607, 6.4715274), (46.5016425, 6.471633), (46.5014075, 6.4718461), (46.5009255, 6.4722713)]"
24811417,opposite,114.65897780751385,"[(46.5118748, 6.6325029), (46.5115815, 6.6324117), (46.5108663, 6.6321894)]"
24811783,opposite_lane,159.74251411434602,"[(46.5137227, 6.6309705), (46.5136761, 6.6310768), (46.5130118, 6.6325704), (46.5129599, 6.6326882), (46.512949, 6.632724)]"
24812211,opposite,40.30247898834591,"[(46.5126499, 6.6452564), (46.5125968, 6.6452732), (46.512538, 6.6453207), (46.512487, 6.6453934), (46.5123928, 6.6455972)]"
24813742,opposite,417.7510684442953,"[(46.5124823, 6.6237981), (46.5123641, 6.6236565), (46.5118784, 6.6228922), (46.5118394, 6.6228471), (46.5117327, 6.6227236), (46.5116564, 6.6226123), (46.5116159, 6.622523), (46.5113703, 6.6220325), (46.5112788, 6.6218256), (46.5112195, 6.6216964), (46.5111776, 6.6216052), (46.5110068, 6.6213736), (46.5107027, 6.6211194), (46.5104232, 6.6208535), (46.5104049, 6.6208361), (46.5099423, 6.6203002), (46.5098441, 6.6201864), (46.5098201, 6.6201445), (46.5097866, 6.6200885)]"
24814169,opposite,97.90488744923981,"[(46.5132563, 6.6268554), (46.5133244, 6.6264152), (46.5133393, 6.6263185), (46.5133812, 6.6260476), (46.5134509, 6.6256112)]"
